"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Должен корректно сравнивать два числа, когда a > b","2","Сравнение: a больше b","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testCompareWhenAGreaterThanB"
"Должен правильно умножать два числа","2","Умножение чисел","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testMultiply"
"Должен определять неидентичные строки","1","Сравнение неидентичных строк","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testDifferentStrings"
"Должен корректно сравнивать два числа, когда a = b","2","Сравнение: a равно b","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testCompareWhenAEqualsB"
"Должен определять идентичность пустых строк","3","Сравнение пустых строк","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testEmptyStrings"
"Должен определять неидентичность пустой и непустой строки","1","Сравнение пустой и непустой строки","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testEmptyAndNonEmptyStrings"
"Должен определять идентичные строки","2","Сравнение идентичных строк","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testIdenticalStrings"
"Должен определять неидентичность null и обычной строки","1","Сравнение null и обычной строки","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testNullAndNonNullStrings"
"Должен возвращать правильное количество чётных чисел","3","Правильное количество чётных чисел","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 3: Тесты фильтра чётных чисел","org.example.tasks.Task3EvenNumberFilterTest","testEvenNumbersCount"
"Должен правильно вычитать два числа","2","Вычитание чисел","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testSubtract"
"Должен правильно делить два числа","3","Деление чисел","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testDivide"
"Должен выбросить исключение при делении на ноль","8","Деление на ноль","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testDivideByZero"
"Должен фильтровать чётные числа из массива [1,2,3,4,5,6,7,8,9,10]","20","Фильтрация чётных чисел из заданного массива","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 3: Тесты фильтра чётных чисел","org.example.tasks.Task3EvenNumberFilterTest","testFilterEvenNumbers"
"Должен игнорировать пробелы как различие","1","Сравнение строк с пробелами","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testStringsWithSpaces"
"Должен правильно складывать два числа","5","Сложение чисел","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testAdd"
"Должен корректно сравнивать два числа, когда a < b","247","Сравнение: a меньше b","","Fri Dec 05 22:30:37 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testCompareWhenALessThanB"
"Должен различать строки с разным регистром","4","Сравнение строк с разным регистром","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testCaseSensitiveComparison"
"Должен правильно делить с остатком","7","Деление с дробным результатом","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testDivideWithRemainder"
"Должен возвращать только чётные числа","13","Все возвращённые числа чётные","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 3: Тесты фильтра чётных чисел","org.example.tasks.Task3EvenNumberFilterTest","testAllNumbersAreEven"
"Должен сохранять порядок чётных чисел","3","Сохранение порядка","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 3: Тесты фильтра чётных чисел","org.example.tasks.Task3EvenNumberFilterTest","testMaintainOrder"
"Должен различать строки с разным количеством пробелов","2","Сравнение строк с разными пробелами","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testStringsWithDifferentSpaces"
"Должен корректно обрабатывать null значения","1","Сравнение null строк","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Задача 2: Тесты сравнения строк","org.example.tasks.Task2StringComparatorTest","testNullStrings"
"","1","Application compiles successfully","","Fri Dec 05 22:30:38 UTC 2025","passed","Fri Dec 05 22:30:38 UTC 2025","","Smoke Tests","org.example.SmokeTest","applicationCompiles"
